experiment_type,experiment_name,experiment_code,country,age,age_num,mean_C_tr,mean_lambda_xr,mean_climate_component,mean_relative_mx_impact,mean_relative_mx_impact_pct,median_relative_mx_impact_pct,min_relative_mx_impact_pct,max_relative_mx_impact_pct,mean_delta_vs_baseline_relative_mx_impact_pct,mean_delta_vs_baseline_climate_component
C_weights,C1_base_20_70_10,C1,FR,43,43.0,2.370625754874766,0.013773155970123392,0.032650998268681654,0.03337256740852014,3.3372567408520135,3.402068739388797,-0.7364240704256786,7.120467031007682,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,44,44.0,2.370625754874766,0.00020078994947195488,0.00047599782553821914,0.0004761487654631272,0.04761487654631272,0.04878346374133091,-0.010774996421292204,0.10032586409760569,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,45,45.0,2.370625754874766,0.0038192635919970085,0.00905404463584362,0.009108886231870318,0.9108886231870317,0.9320096361575381,-0.2047543784317596,1.9256669276864313,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,46,46.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,47,47.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,48,48.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,49,49.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,50,50.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,51,51.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,52,52.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,53,53.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,54,54.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,55,55.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,56,56.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,57,57.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,58,58.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,59,59.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,60,60.0,2.370625754874766,0.0019405719661795067,0.004600369882213102,0.004614497185998454,0.46144971859984535,0.4724745900128946,-0.10408836647011199,0.9738432779275996,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,61,61.0,2.370625754874766,0.00884919160384359,0.020978121525893154,0.021274270727809602,2.1274270727809603,2.1727221575069677,-0.4737741240173343,4.518440575971772,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,62,62.0,2.370625754874766,0.01563237607029939,0.03705851332213972,0.03799007186599767,3.799007186599767,3.8700902299346973,-0.8354166498528048,8.119717175907537,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,63,63.0,2.370625754874766,0.017369099457632643,0.04117563451324527,0.04232803256415774,4.2328032564157745,4.309189045668882,-0.9277978149673793,9.061549237390242,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,64,64.0,2.370625754874766,0.02065459308032085,0.04896431031266673,0.05060023620621241,5.060023620621242,5.144949902320439,-1.1023270528804252,10.865784947733959,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,65,65.0,2.370625754874766,0.024096032050604902,0.0571226741694518,0.05935824236660939,5.935824236660939,6.027561612001309,-1.2848106044489827,12.787673408623546,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,66,66.0,2.370625754874766,0.03132246926642576,0.07425385234926224,0.07806391733103435,7.8063917331034345,7.90508302934112,-1.6668999483629543,16.932432450265054,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,67,67.0,2.370625754874766,0.03178767384851735,0.0753566783128543,0.07928293111316426,7.928293111316425,8.027081962555638,-1.6914463630228749,17.204412299604055,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,68,68.0,2.370625754874766,0.026589249123508553,0.06303315877497068,0.06576334018892299,6.576334018892299,6.6716112231063995,-1.416803977042158,14.20080129553325,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,69,69.0,2.370625754874766,0.029570480879812792,0.07010054355771603,0.0734892400067517,7.34892400067517,7.446862941101551,-1.5744016594195553,15.913792201319922,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,70,70.0,2.370625754874766,0.028047086125398902,0.06648914471806135,0.06953217181605795,6.953217181605794,7.050011752398078,-1.4939015220054475,15.0352760414318,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,71,71.0,2.370625754874766,0.028121180021018148,0.06666479361529534,0.06972418889995932,6.972418889995933,7.069279590205824,-1.4978183588002847,15.077850290454808,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,72,72.0,2.370625754874766,0.025438800879897312,0.060305876539015424,0.06280150863138734,6.280150863138734,6.37394193214309,-1.3559200558425744,13.546553284749274,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,73,73.0,2.370625754874766,0.020526014591566964,0.04865949883570389,0.05027487507369268,5.027487507369268,5.112116667634714,-1.0955025984766054,10.794617793654137,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,74,74.0,2.370625754874766,0.022004981864577285,0.05216557674371906,0.0540253714976985,5.40253714976985,5.490399305260207,-1.1739720881935867,11.615981006784093,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,75,75.0,2.370625754874766,0.017086695438732386,0.04050616027276018,0.04162101848930841,4.16210184893084,4.23766217098025,-0.9127818183275127,8.90784370674844,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,76,76.0,2.370625754874766,0.01659726878509977,0.03934591284253653,0.040397212443506296,4.03972124435063,4.113817047547719,-0.8867526164454853,8.641973726780726,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,77,77.0,2.370625754874766,0.017438723025429956,0.041340685936211846,0.04250243647562345,4.250243647562345,4.326830741054644,-0.9314994921378106,9.099476946981655,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,78,78.0,2.370625754874766,0.013434794125306156,0.031848868964890975,0.03253514755508246,3.253514755508246,3.317120005928076,-0.7183976583480023,6.939608027678612,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,79,79.0,2.370625754874766,0.007477333167804083,0.017725958585375682,0.01793706418146084,1.793706418146084,1.8328264870667077,-0.4004739046044481,3.804818069005589,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,80,80.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,81,81.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,82,82.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,83,83.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,84,84.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,85,85.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,IT,20,20.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,IT,21,21.0,3.5972759259739395,0.011240288782265852,0.04043442023743987,0.04133287731564114,4.133287731564114,4.424114117920652,1.304519460820086,6.389727922372224,0.0,0.0
C_weights,C1_base_20_70_10,C1,IT,22,22.0,3.5972759259739395,0.0027692712806877823,0.009961832910509179,0.010015736556415787,1.0015736556415786,1.0722549947804305,0.31982669917483,1.5376906874288165,0.0,0.0
C_weights,C1_base_20_70_10,C1,IT,23,23.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,IT,24,24.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,IT,25,25.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,IT,26,26.0,3.5972759259739395,0.006127122532955124,0.022040950383291933,0.022306044595933907,2.230604459593391,2.3878408338880774,0.7090016685652678,3.4339532875655943,0.0,0.0
C_weights,C1_base_20_70_10,C1,IT,27,27.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,IT,28,28.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,IT,29,29.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,IT,30,30.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,IT,31,31.0,3.5972759259739395,0.010258689204186388,0.03690333570626844,0.03765071090779402,3.765071090779402,4.030084346322282,1.1899225075881148,5.815815452854989,0.0,0.0
C_weights,C1_base_20_70_10,C1,IT,32,32.0,3.5972759259739395,0.0064477426205221755,0.023194309305680543,0.023488002399177126,2.3488002399177126,2.5143499494452826,0.7462404056106653,3.616857278783625,0.0,0.0
C_weights,C1_base_20_70_10,C1,IT,33,33.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,IT,34,34.0,3.5972759259739395,0.01811470890812966,0.06516360626124049,0.06751936901243678,6.7519369012436785,7.225760131123526,2.1107197122401056,10.497185835669631,0.0,0.0
C_weights,C1_base_20_70_10,C1,IT,35,35.0,3.5972759259739395,0.016948107300335472,0.060967018382319965,0.06302579609634695,6.302579609634695,6.745074693198161,1.9734554491223522,9.789135330093623,0.0,0.0
C_weights,C1_base_20_70_10,C1,IT,36,36.0,3.5972759259739395,0.03023948317657575,0.1087797648449899,0.11545625642502608,11.545625642502607,12.351622025663268,3.5483262935237514,18.132017819782398,0.0,0.0
C_weights,C1_base_20_70_10,C1,IT,37,37.0,3.5972759259739395,0.0035596330969372507,0.01280498244491243,0.012894142001489767,1.2894142001489768,1.3803847248544887,0.41129408718494354,1.9808755626302021,0.0,0.0
