country,age,age_num,lambda_xr,n_obs,weighted,intercept,r_squared,rmse_residual_after_climate,mean_C_tr,sd_C_tr,status
FR,54,54.0,-0.024645281212574734,20,False,0.0,0.25540634900518167,0.038529255697635344,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,55,55.0,-0.02487055607892221,20,False,0.0,0.24274611157506942,0.040220098733931654,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,56,56.0,-0.022359852064113252,20,False,0.0,0.20845639150242168,0.03989438392876563,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,57,57.0,-0.015889845334695733,20,False,0.0,0.11681922231290853,0.04000371644470396,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,58,58.0,-0.011123722682077824,20,False,0.0,0.0746155743381175,0.035868195207045844,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,59,59.0,-0.0087211592600493,20,False,0.0,0.045102034509345024,0.036742411474223614,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,60,60.0,0.0019405719661795074,20,False,0.0,0.0026290028959709,0.03460792891449465,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,61,61.0,0.008849191603843589,20,False,0.0,0.04112746912583187,0.039122902416278464,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,62,62.0,0.015632376070299388,20,False,0.0,0.20954580037588888,0.027799493987944835,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,63,63.0,0.01736909945763264,20,False,0.0,0.31959212538861237,0.023204753224883877,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,64,64.0,0.020654593080320853,20,False,0.0,0.4554925926273923,0.020677160630550858,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,65,65.0,0.0240960320506049,20,False,0.0,0.46684535704602415,0.023577547559964374,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,66,66.0,0.031322469266425755,20,False,0.0,0.5610617090719663,0.02536678525456394,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,67,67.0,0.03178767384851735,20,False,0.0,0.5808228886963981,0.02472570531509752,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,68,68.0,0.026589249123508546,20,False,0.0,0.581485267679568,0.020654044662962733,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,69,69.0,0.02957048087981278,20,False,0.0,0.5238026159076473,0.02581553203474506,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,70,70.0,0.0280470861253989,20,False,0.0,0.5438631507113995,0.02351817034615426,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,71,71.0,0.02812118002101814,20,False,0.0,0.6177831428409497,0.02025272444649054,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,72,72.0,0.02543880087989731,20,False,0.0,0.5913793747134287,0.019361398002774928,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,73,73.0,0.02052601459156696,20,False,0.0,0.6082004835267594,0.015084336851668016,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,74,74.0,0.022004981864577278,20,False,0.0,0.6024157404099899,0.016368183011562905,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,75,75.0,0.017086695438732383,20,False,0.0,0.5040009078797274,0.015520148822692816,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,76,76.0,0.016597268785099765,20,False,0.0,0.42878528531086724,0.017539992586034277,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,77,77.0,0.017438723025429953,20,False,0.0,0.6535823796528166,0.011624586698965537,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,78,78.0,0.013434794125306154,20,False,0.0,0.40884660573116827,0.014791558407075411,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,79,79.0,0.007477333167804083,20,False,0.0,0.15210434102119563,0.01616442107105142,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,80,80.0,-0.002524594898999976,20,False,0.0,0.014575883352181074,0.019006356598331626,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,81,81.0,-0.005256559113597071,20,False,0.0,0.055759477116902656,0.019805989538544688,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,82,82.0,-0.006691477285007811,20,False,0.0,0.07617300648639669,0.02133682547616596,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,83,83.0,-0.006706696212817917,20,False,0.0,0.08182219809491909,0.02057071938511079,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,84,84.0,-0.007415543682049697,20,False,0.0,0.13863418434613106,0.01692445410124688,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,85,85.0,-0.007137747002112832,20,False,0.0,0.10475618750750915,0.019105349805078428,-2.2204460492503132e-17,0.9156152586894606,estimated
IT,20,20.0,-0.020818097729608808,20,False,0.0,0.04259446593936622,0.09422273784443311,4.4408920985006264e-17,0.9546480688821923,estimated
IT,21,21.0,0.01124028878226586,20,False,0.0,0.027710337058958423,0.06356202101525202,4.4408920985006264e-17,0.9546480688821923,estimated
IT,22,22.0,0.00276927128068778,20,False,0.0,0.0008020231238449194,0.09331277998296629,4.4408920985006264e-17,0.9546480688821923,estimated
IT,23,23.0,-0.0103238590166454,20,False,0.0,0.015906447072997043,0.07752057126820687,4.4408920985006264e-17,0.9546480688821923,estimated
IT,24,24.0,-0.03404405815922482,20,False,0.0,0.2459480866926672,0.05690671563565447,4.4408920985006264e-17,0.9546480688821923,estimated
IT,25,25.0,-0.012738064842770661,20,False,0.0,0.04407903959214088,0.05662936401259264,4.4408920985006264e-17,0.9546480688821923,estimated
IT,26,26.0,0.006127122532955127,20,False,0.0,0.007867788932853448,0.06568380280759237,4.4408920985006264e-17,0.9546480688821923,estimated
IT,27,27.0,-0.03143672832684167,20,False,0.0,0.21458555798406986,0.057415590639563925,4.4408920985006264e-17,0.9546480688821923,estimated
