country,age,age_num,mean_C_tr,mean_climate_component,mean_relative_mx_impact,mean_relative_mx_impact_pct,median_relative_mx_impact_pct,min_relative_mx_impact_pct,max_relative_mx_impact_pct,mean_absolute_mx_impact,lambda_xr
FR,79,79.0,2.370625754874766,0.017725958585375484,0.017937064181460682,1.7937064181460682,1.832826487066641,-0.4004739046044037,3.8048180690055444,0.0003407251889202419,0.007477333167804
FR,80,80.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,81,81.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,82,82.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,83,83.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,84,84.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,85,85.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,20,20.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,21,21.0,3.5972759259739395,0.040434420237439685,0.04133287731564091,4.133287731564091,4.424114117920652,1.304519460820086,6.389727922372046,4.7770828961294505e-06,0.0112402887822658
IT,22,22.0,3.5972759259739395,0.009961832910508882,0.010015736556415435,1.0015736556415435,1.0722549947804305,0.31982669917483,1.5376906874288165,1.1712477302665022e-06,0.0027692712806877
IT,23,23.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,24,24.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,25,25.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,26,26.0,3.5972759259739395,0.022040950383291843,0.022306044595933907,2.230604459593391,2.3878408338880774,0.7090016685652678,3.4339532875655943,3.2146533193805334e-06,0.0061271225329551
IT,27,27.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,28,28.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,29,29.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,30,30.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,31,31.0,3.5972759259739395,0.03690333570626812,0.03765071090779358,3.7650710907793585,4.030084346322105,1.1899225075881148,5.815815452854989,6.51451142783174e-06,0.0102586892041863
IT,32,32.0,3.5972759259739395,0.023194309305680273,0.023488002399176953,2.3488002399176953,2.5143499494452826,0.7462404056106653,3.616857278783625,4.428613887285789e-06,0.0064477426205221
IT,33,33.0,3.5972759259739395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,34,34.0,3.5972759259739395,0.06516360626124028,0.06751936901243641,6.751936901243642,7.225760131123349,2.1107197122401056,10.49718583566943,1.5134047974882752e-05,0.0181147089081296
IT,35,35.0,3.5972759259739395,0.0609670183823197,0.0630257960963467,6.302579609634671,6.745074693198161,1.9734554491223522,9.789135330093423,1.309887329575679e-05,0.0169481073003354
IT,36,36.0,3.5972759259739395,0.10877976484498972,0.11545625642502597,11.545625642502596,12.351622025663268,3.5483262935237514,18.132017819782398,2.6380083962537537e-05,0.0302394831765757
IT,37,37.0,3.5972759259739395,0.012804982444912247,0.01289414200148971,1.289414200148971,1.3803847248544887,0.41129408718494354,1.9808755626302021,3.202128279710871e-06,0.0035596330969372
