age,country,year,mx,age_num,log_mx,a_xr_initial,y_centered_initial,a_xr,b_x,k_t,log_mx_hat_baseline,mx_hat_baseline,baseline_residual
83,IT,2009,0.06867,83.0,-2.678442856349552,-2.7555804996782363,0.07713764332868411,-2.7555804996782363,0.011605682635583328,6.991142300128128,-2.6744435208827473,0.06894518427683424,-0.003999335466804865
84,IT,2009,0.07787,84.0,-2.552714509393242,-2.624584815273864,0.07187030588062182,-2.624584815273864,0.010462248076074009,6.991142300128128,-2.551441750194789,0.0779691728569789,-0.001272759198453155
85,IT,2009,0.08852,85.0,-2.424526763799288,-2.493317042723466,0.06879027892417788,-2.493317042723466,0.009737743869726704,6.991142300128128,-2.4252390896480063,0.08845696736842314,0.000712325848718276
20,IT,2010,0.00033,20.0,-8.016417903503749,-8.103498808710839,0.08708090520709,-8.103498808710839,0.027065368019014283,3.8062202731669594,-8.000482056256143,0.00033530095501487357,-0.015935847247606105
21,IT,2010,0.00035,21.0,-7.957577403480815,-8.055007618769682,0.09743021528886775,-8.055007618769682,0.023695264288118734,3.8062202731669594,-7.964818223458196,0.00034747486606066395,0.007240819977381463
22,IT,2010,0.00033,22.0,-8.016417903503749,-8.016067251865158,-0.00035065163859115955,-8.016067251865158,0.024368876838677903,3.8062202731669594,-7.923313938807473,0.0003622000266968532,-0.09310396469627591
23,IT,2010,0.00031,23.0,-8.078938260485081,-8.0579782106576,-0.020960049827481342,-8.0579782106576,0.023859905728048508,3.8062202731669594,-7.9671621537596495,0.000346661362962841,-0.11177610672543192
24,IT,2010,0.00038,24.0,-7.875339305243843,-8.02357600473842,0.14823669949457674,-8.02357600473842,0.022773052801918214,3.8062202731669594,-7.936896749481857,0.00035731359318434,0.061557444238014014
25,IT,2010,0.00034,25.0,-7.986564940354067,-7.966418780420314,-0.020146159933752905,-7.966418780420314,0.021477049735121993,3.8062202731669594,-7.884672398310678,0.00037646992352512296,-0.10189254204338916
26,IT,2010,0.00036,26.0,-7.929406526514119,-7.977270622743386,0.047864096229266906,-7.977270622743386,0.020228418997948437,3.8062202731669594,-7.900276804259279,0.00037064093126997475,-0.029129722254840118
27,IT,2010,0.00037,27.0,-7.902007552326004,-7.972900795014032,0.07089324268802777,-7.972900795014032,0.021844882459629948,3.8062202731669594,-7.889754360531239,0.000374561570791983,-0.01225319179476525
28,IT,2010,0.00035,28.0,-7.957577403480815,-7.954676995031266,-0.0029004084495483085,-7.954676995031266,0.01993958347081985,3.8062202731669594,-7.878782548186127,0.0003786938177238831,-0.07879485529468777
29,IT,2010,0.00041,29.0,-7.799353398265921,-7.929714242097158,0.13036084383123736,-7.929714242097158,0.019123715743917843,3.8062202731669594,-7.856925167534376,0.00038706219489098977,0.05757176926845542
30,IT,2010,0.00039,30.0,-7.849363818840582,-7.870304959748891,0.020941140908308675,-7.870304959748891,0.018652436174824778,3.8062202731669594,-7.7993096790363206,0.0004100179252759728,-0.050054139804261766
31,IT,2010,0.00044,31.0,-7.728735831051967,-7.8408302970485675,0.11209446599660033,-7.8408302970485675,0.019107855853761156,3.8062202731669594,-7.76810158872123,0.0004230155625395049,0.039365757669262536
32,IT,2010,0.00044,32.0,-7.728735831051967,-7.778588484385329,0.049852653333362085,-7.778588484385329,0.018541998976225594,3.8062202731669594,-7.708013551976978,0.0004492129295649309,-0.020722279074989025
33,IT,2010,0.0005,33.0,-7.600902459542082,-7.733291312023921,0.13238885248183863,-7.733291312023921,0.018290514561482833,3.8062202731669594,-7.663673584693349,0.0004695791994145921,0.06277112515126682
34,IT,2010,0.00052,34.0,-7.5616817463888015,-7.648546175377929,0.08686442898912716,-7.648546175377929,0.017506366593865882,3.8062202731669594,-7.581913087938863,0.0005095854082040096,0.0202313415500619
35,IT,2010,0.00054,35.0,-7.523941418405954,-7.608556065774183,0.08461464736822855,-7.608556065774183,0.02028229426963641,3.8062202731669594,-7.531357186138754,0.0005360102970634358,0.007415767732799949
36,IT,2010,0.00057,36.0,-7.469874197135678,-7.50778525788188,0.03791106074620121,-7.50778525788188,0.02041717609479281,3.8062202731669594,-7.4300729883090595,0.000593144217733941,-0.03980120882661886
37,IT,2010,0.00063,37.0,-7.369790738578696,-7.457084963325983,0.08729422474728654,-7.457084963325983,0.019651752990632196,3.8062202731669594,-7.382286062689769,0.0006221769235345312,0.01249532411107257
38,IT,2010,0.00067,38.0,-7.308232845579262,-7.370419156757725,0.06218631117846307,-7.370419156757725,0.0202674338985073,3.8062202731669594,-7.293276838968155,0.0006800958329139255,-0.014956006611106964
39,IT,2010,0.00071,39.0,-7.250245587928913,-7.264149925721109,0.01390433779219613,-7.264149925721109,0.020335399475374303,3.8062202731669594,-7.186748915974991,0.0007565447170991734,-0.0634966719539225
