country,year,age,age_num,mx,log_mx,mx_hat_baseline,log_mx_hat_baseline,baseline_residual
ES,2005,54,54.0,0.00426,-5.458486118700858,0.004322043605598328,-5.444026931730771,-0.014459186970086968
ES,2005,55,55.0,0.00453,-5.397033339487194,0.004597336859857828,-5.38227808664876,-0.014755252838434707
ES,2005,56,56.0,0.00479,-5.341224867559313,0.004975539339356767,-5.303221504326554,-0.03800336323275921
ES,2005,57,57.0,0.00525,-5.249527202378605,0.005439227259057808,-5.2141182761713685,-0.03540892620723657
ES,2005,58,58.0,0.00567,-5.172566161242476,0.005796215333060428,-5.150550103202014,-0.022016058040462028
ES,2005,59,59.0,0.0064,-5.051457288616511,0.006301425948579672,-5.066979330151527,0.015522041535016129
ES,2005,60,60.0,0.00687,-4.980591172747879,0.0068706309306547884,-4.980499338441519,-9.183430635939516e-05
ES,2005,61,61.0,0.00724,-4.928134072584512,0.007249312469102478,-4.926848646460312,-0.0012854261242001286
ES,2005,62,62.0,0.0079,-4.840892519509161,0.007829592180615918,-4.849844854548381,0.008952335039220216
ES,2005,63,63.0,0.00846,-4.772406105364005,0.008411903056363539,-4.778107545653699,0.005701440289694659
ES,2005,64,64.0,0.00912,-4.697285474895897,0.009118414049350045,-4.697459388115507,0.00017391321961035544
ES,2005,65,65.0,0.01031,-4.574640980953268,0.009995971657800178,-4.6055731013675745,0.03093212041430604
ES,2005,66,66.0,0.01115,-4.496315781076009,0.010816346614034831,-4.526696713779062,0.030380932703052643
ES,2005,67,67.0,0.01246,-4.38523176562283,0.011883950470994943,-4.432566489095363,0.04733472347253276
ES,2005,68,68.0,0.01324,-4.324512728473275,0.01299702855321863,-4.343034520476687,0.018521792003411974
ES,2005,69,69.0,0.01508,-4.194385916402327,0.014388922568557014,-4.241296634509587,0.04691071810726033
ES,2005,70,70.0,0.01647,-4.106214734792588,0.015804769780511194,-4.147443499664796,0.04122876487220761
ES,2005,71,71.0,0.01824,-4.004138294335951,0.017492001983628266,-4.046011532029442,0.041873237693490495
ES,2005,72,72.0,0.02039,-3.8927106943957734,0.01957421547362694,-3.933542115884049,0.040831421488275677
ES,2005,73,73.0,0.02248,-3.7951292539566466,0.021664286601793495,-3.8320901529364617,0.03696089897981514
ES,2005,74,74.0,0.02581,-3.6569932652516144,0.02450200179864601,-3.7090004587020307,0.05200719345041627
ES,2005,75,75.0,0.02838,-3.5620706072502406,0.027463484979019653,-3.594897975587065,0.032827368336824314
ES,2005,76,76.0,0.03196,-3.4432701580840632,0.030714925436094925,-3.4830065719747627,0.039736413890699485
ES,2005,77,77.0,0.03628,-3.316488653735201,0.03473674653949124,-3.3599571742677488,0.04346852053254757
ES,2005,78,78.0,0.04112,-3.1912606578352274,0.03900087606777342,-3.2441711698285447,0.05291051199331731
ES,2005,79,79.0,0.0473,-3.0512449834842497,0.044180394574045226,-3.119474149974248,0.06822916648999833
ES,2005,80,80.0,0.05285,-2.9402975666658904,0.050484914907691615,-2.9860807020241213,0.045783135358230975
ES,2005,81,81.0,0.05972,-2.8180883063111475,0.05667045781407314,-2.8705022302365735,0.05241392392542599
ES,2005,82,82.0,0.06748,-2.6959240213043696,0.0640872498737858,-2.747509844766054,0.05158582346168439
ES,2005,83,83.0,0.07667,-2.568244781411334,0.07244459541751255,-2.624933210409806,0.05668842899847215
ES,2005,84,84.0,0.08541,-2.4602920890240814,0.08120538866706221,-2.5107736711215694,0.05048158209748799
ES,2005,85,85.0,0.09614,-2.341949816516322,0.09203914750835858,-2.3855412760443224,0.043591459528000254
ES,2006,20,20.0,0.00044,-7.728735831051967,0.00038440134567364355,-7.863823380162392,0.1350875491104251
ES,2006,21,21.0,0.00044,-7.728735831051967,0.00037068692286893314,-7.900152725287308,0.17141689423534068
ES,2006,22,22.0,0.00045,-7.706262975199909,0.0003810376483087181,-7.872612373260822,0.16634939806091342
ES,2006,23,23.0,0.00039,-7.849363818840582,0.0003875108542638948,-7.855766698559574,0.00640287971899145
ES,2006,24,24.0,0.00041,-7.799353398265921,0.00039544809359412107,-7.835491021862356,0.03613762359643502
ES,2006,25,25.0,0.00042,-7.77525584668686,0.0004034405531345365,-7.815481409151393,0.04022556246453313
ES,2006,26,26.0,0.00047,-7.66277786326017,0.00039435095628789616,-7.838269293150738,0.17549142989056765
ES,2006,27,27.0,0.00045,-7.706262975199909,0.00042186280345022015,-7.770830407095611,0.06456743189570169
ES,2006,28,28.0,0.00043,-7.751725349276666,0.0004152646452101212,-7.7865945416758775,0.03486919239921171
ES,2006,29,29.0,0.00045,-7.706262975199909,0.0004493819857131809,-7.707637284211892,0.0013743090119833212
ES,2006,30,30.0,0.00052,-7.5616817463888015,0.00047017492896052815,-7.662405743227699,0.1007239968388971
ES,2006,31,31.0,0.00055,-7.505592279737757,0.0004966481118942784,-7.607628806992853,0.1020365272550956
ES,2006,32,32.0,0.00059,-7.435388021064509,0.0005105193944193136,-7.580081930054136,0.14469390898962686
ES,2006,33,33.0,0.00058,-7.4524824544238095,0.0005581301060968151,-7.4909184577136525,0.03843600328984298
ES,2006,34,34.0,0.00068,-7.293417759794122,0.0006072954367995888,-7.406495169003697,0.11307740920957521
ES,2006,35,35.0,0.00074,-7.208860371766058,0.0006659057583308657,-7.314362401444231,0.10550202967817235
ES,2006,36,36.0,0.00084,-7.082108666126914,0.0007214768633422565,-7.23421024770422,0.15210158157730547
ES,2006,37,37.0,0.00092,-6.991136887921188,0.0007888478055120277,-7.144937151147133,0.15380026322594453
ES,2006,38,38.0,0.00102,-6.887952651685957,0.0008683586202849932,-7.0489057716194194,0.1609531199334624
ES,2006,39,39.0,0.00122,-6.708904420236972,0.0009589247855979966,-6.949697916190003,0.24079349595303157
ES,2006,40,40.0,0.00123,-6.700741109597811,0.0010761434200115265,-6.834371536151326,0.1336304265535153
ES,2006,41,41.0,0.00127,-6.668738378511637,0.001182382764029721,-6.740223584982706,0.07148520647106871
ES,2006,42,42.0,0.00143,-6.550080834710321,0.0013018203859825833,-6.6439916971063955,0.09391086239607471
ES,2006,43,43.0,0.00166,-6.400937676613685,0.0014572908988211202,-6.5311761156776935,0.13023843906400856
ES,2006,44,44.0,0.00186,-6.287178791257027,0.0016122964237956423,-6.430095766073302,0.1429169748162753
ES,2006,45,45.0,0.00189,-6.271178449910586,0.0017988134863737885,-6.320628005667659,0.04944955575707333
ES,2006,46,46.0,0.00213,-6.151633299260803,0.0019740571269702863,-6.227664398688333,0.07603109942752972
ES,2006,47,47.0,0.00224,-6.101279413115189,0.002209655515926957,-6.114918650748442,0.013639237633253032
ES,2006,48,48.0,0.00257,-5.9638493800750085,0.0024433396961389253,-6.014389447605449,0.0505400675304406
ES,2006,49,49.0,0.0026,-5.952243833954701,0.0026720055021208604,-5.924925964132889,-0.027317869821811946
ES,2006,50,50.0,0.00302,-5.802498447595359,0.0029574130542177556,-5.82344036094869,0.020941913353331287
ES,2006,51,51.0,0.00329,-5.716867714204857,0.0032689888957397233,-5.723274548082871,0.0064068338780138845
ES,2006,52,52.0,0.00358,-5.632392478569528,0.0035412684913421165,-5.64327028513403,0.010877806564502102
ES,2006,53,53.0,0.00388,-5.551920125346955,0.0038273704627675514,-5.5655772748281285,0.01365714948117347
ES,2006,54,54.0,0.00418,-5.477444032445472,0.00417474107611423,-5.478702940299685,0.0012589078542131205
ES,2006,55,55.0,0.00432,-5.444499876726118,0.004453029649253895,-5.4141705943997716,-0.030329282326346352
ES,2006,56,56.0,0.00486,-5.326716841069735,0.004838539309802458,-5.331142399298382,0.004425558228646764
ES,2006,57,57.0,0.00524,-5.251433780649187,0.005286546641338692,-5.242590055105049,-0.00884372554413737
ES,2006,58,58.0,0.00555,-5.193957351223794,0.005642781423577389,-5.177378174826943,-0.016579176396851025
ES,2006,59,59.0,0.0061,-5.099466507802871,0.00614251258238984,-5.0925214051559236,-0.006945102646947809
ES,2006,60,60.0,0.00674,-4.999695354057922,0.006699844693810876,-5.005670932882105,0.005975578824183536
ES,2006,61,61.0,0.00685,-4.983506626708003,0.007084750848271463,-4.949810572545137,-0.03369605416286614
ES,2006,62,62.0,0.00772,-4.863940914945452,0.0076642623048778285,-4.871187013314992,0.007246098369539489
ES,2006,63,63.0,0.0081,-4.815891217303744,0.00823949993970878,-4.798815623830829,-0.01707559347291454
ES,2006,64,64.0,0.0091,-4.699480865459333,0.008922906973686225,-4.719133491571093,0.01965262611176044
ES,2006,65,65.0,0.00991,-4.61421093064024,0.009771544364802579,-4.628280753280064,0.014069822639823926
ES,2006,66,66.0,0.01052,-4.554477071672573,0.01057305321351043,-4.54944666428211,-0.005030407390463232
ES,2006,67,67.0,0.0116,-4.456750180869818,0.011600989390368412,-4.456664892233858,-8.528863595991254e-05
ES,2006,68,68.0,0.01288,-4.352079558305929,0.012658635639536354,-4.369415637462558,0.017336079156629047
ES,2006,69,69.0,0.0141,-4.261580481598014,0.014002775043916367,-4.268499751586758,0.006919269988744148
ES,2006,70,70.0,0.01519,-4.187117962374455,0.01535839313646475,-4.1760931702463955,-0.011024792128059957
ES,2006,71,71.0,0.0172,-4.06284589516273,0.016971903089580992,-4.0761960616759785,0.013350166513248496
ES,2006,72,72.0,0.01945,-3.939908208917682,0.018936102086683435,-3.966685015642008,0.026776806724326363
ES,2006,73,73.0,0.02075,-3.87520903230543,0.02094972625120696,-3.8656296994675254,-0.009579332837904353
ES,2006,74,74.0,0.02362,-3.745661468212921,0.02365104690564538,-3.74434789840045,-0.0013135698124711048
ES,2006,75,75.0,0.0265,-3.6306105459899607,0.026481720609763913,-3.631300572314172,0.0006900263242113347
ES,2006,76,76.0,0.02943,-3.5257407167367556,0.02959462854591594,-3.5201624021628204,-0.005578314573935206
ES,2006,77,77.0,0.03386,-3.3855209022771477,0.033444831773348234,-3.397858010373639,0.012337108096491356
ES,2006,78,78.0,0.03786,-3.2738601332009605,0.03756093287070568,-3.2817907881372532,0.007930654936292747
ES,2006,79,79.0,0.04297,-3.1472530811952333,0.04257403192026712,-3.156510790912287,0.009257709717053864
ES,2006,80,80.0,0.04871,-3.0218709311636855,0.048587339269162796,-3.0243922908789806,0.0025213597152951017
ES,2006,81,81.0,0.05463,-2.9071720965745107,0.05465760487760948,-2.9066669180004636,-0.0005051785740470827
ES,2006,82,82.0,0.06139,-2.790508323542732,0.06188003611903791,-2.7825576695825824,-0.007950653960149712
ES,2006,83,83.0,0.06942,-2.667580268548497,0.07007356448054776,-2.6582096676131415,-0.009370600935355355
ES,2006,84,84.0,0.07888,-2.539827568687757,0.07880556921396996,-2.540771609311498,0.0009440406237408716
ES,2006,85,85.0,0.09028,-2.404839327032802,0.08950490277666663,-2.413461875574116,0.008622548541314057
ES,2007,20,20.0,0.00042,-7.77525584668686,0.00037010376559537653,-7.901727144088997,0.12647129740213714
ES,2007,21,21.0,0.00034,-7.986564940354067,0.00035858787162742627,-7.933336818816883,-0.053228121537183704
ES,2007,22,22.0,0.0004,-7.824046010856292,0.0003682531939972057,-7.906739829211204,0.08269381835491174
ES,2007,23,23.0,0.00039,-7.849363818840582,0.0003747762545429482,-7.889181364615163,0.03981754577458041
ES,2007,24,24.0,0.00041,-7.799353398265921,0.0003830352249149785,-7.867383601955321,0.06803020368940071
ES,2007,25,25.0,0.00041,-7.799353398265921,0.00039148670649146567,-7.845558998431838,0.04620560016591746
ES,2007,26,26.0,0.00045,-7.706262975199909,0.00038333616654365605,-7.866598234318951,0.16033525911904167
ES,2007,27,27.0,0.00042,-7.77525584668686,0.00040915228810992717,-7.801423128656705,0.026167281969844858
ES,2007,28,28.0,0.00044,-7.728735831051967,0.00040382902202565005,-7.814518982390736,0.08578315133876924
ES,2007,29,29.0,0.00047,-7.66277786326017,0.000437506436235198,-7.734419140880078,0.07164127761990802
ES,2007,30,30.0,0.0005,-7.600902459542082,0.00045805211357863876,-7.688527595216925,0.08762513567484298
ES,2007,31,31.0,0.00051,-7.5810998322459024,0.00048353422838617893,-7.63438845263727,0.053288620391367836
ES,2007,32,32.0,0.00049,-7.621105166859602,0.0004974332804606918,-7.606049119985877,-0.01505604687372486
ES,2007,33,33.0,0.00058,-7.4524824544238095,0.0005440151535787574,-7.516533455652994,0.06405100122918483
ES,2007,34,34.0,0.00064,-7.354042381610556,0.000592587506885366,-7.431012004914456,0.07696962330390011
ES,2007,35,35.0,0.00069,-7.278818960372969,0.0006472572149087992,-7.342766792374594,0.06394783200162468
ES,2007,36,36.0,0.00079,-7.143477612503207,0.0007011396087252915,-7.262803534231906,0.1193259217286986
ES,2007,37,37.0,0.00084,-7.082108666126914,0.0007674336751887834,-7.172458498929198,0.09034983280228381
ES,2007,38,38.0,0.00097,-6.938214486466846,0.0008440579949738987,-7.077289351304994,0.13907486483814857
ES,2007,39,39.0,0.00112,-6.794426593675134,0.0009320009924286092,-6.978176678441686,0.18375008476655275
ES,2007,40,40.0,0.00121,-6.717134919373487,0.0010459519080192783,-6.862827891433401,0.14569297205991383
ES,2007,41,41.0,0.00133,-6.622576336748475,0.00114892754566904,-6.768926340703413,0.1463500039549377
ES,2007,42,42.0,0.00159,-6.444021262749997,0.0012654363950171043,-6.672338239995189,0.22831697724519184
ES,2007,43,43.0,0.00158,-6.450330431943262,0.0014177478557854965,-6.558685683477913,0.10835525153465131
ES,2007,44,44.0,0.00169,-6.383026750047155,0.0015671534206862575,-6.458494413134579,0.07546766308742381
ES,2007,45,45.0,0.00194,-6.2450673059069,0.0017508029580432976,-6.347680763110866,0.1026134572039652
ES,2007,46,46.0,0.00199,-6.219620640245736,0.0019223465152985125,-6.25420869576711,0.03458805552137356
ES,2007,47,47.0,0.00229,-6.079203461415989,0.0021546909084687203,-6.1401079956583935,0.06090453424240483
ES,2007,48,48.0,0.00242,-6.023987738813542,0.0023851206563641624,-6.038505566250938,0.014517827437396491
ES,2007,49,49.0,0.00264,-5.936976361823913,0.0026109866948306024,-5.948027085091763,0.01105072326785006
ES,2007,50,50.0,0.00297,-5.819193326167529,0.0028927999101974883,-5.845530418809874,0.026337092642345183
ES,2007,51,51.0,0.00314,-5.763532479061975,0.003200988002473954,-5.744295766057057,-0.019236713004917583
ES,2007,52,52.0,0.00349,-5.657853542767802,0.0034737261608028076,-5.662527439600326,0.004673896832524171
ES,2007,53,53.0,0.00389,-5.549346121351782,0.003758540506589259,-5.583724560076301,0.03437843872451918
ES,2007,54,54.0,0.0042,-5.472670753692815,0.004104629768087366,-5.495639730623259,0.02296897693044464
ES,2007,55,55.0,0.00438,-5.430706554593782,0.004384201181600997,-5.429747840425604,-0.0009587141681786093
ES,2007,56,56.0,0.00464,-5.373040912743973,0.004773002143208422,-5.344779791930944,-0.02826112081302945
ES,2007,57,57.0,0.00511,-5.276555874766524,0.005213538308640393,-5.256496515791853,-0.02005935897467115
ES,2007,58,58.0,0.0057,-5.1672891041416324,0.00556932286783002,-5.190481800147436,0.02319269600580398
ES,2007,59,59.0,0.00582,-5.14645501723879,0.00606635765039938,-5.104996911612172,-0.041458105626618114
ES,2007,60,60.0,0.00682,-4.987895807126766,0.00661797739183977,-5.017965485650569,0.0300696785238026
ES,2007,61,61.0,0.00706,-4.953310227476987,0.0070057372547687475,-4.961025857797797,0.0077156303208099075
ES,2007,62,62.0,0.00745,-4.899541246590669,0.007584783906271884,-4.8816111562022595,-0.017930090388409425
ES,2007,63,63.0,0.00809,-4.8171265479117364,0.008156582059882676,-4.808930062965114,-0.008196484946622284
ES,2007,64,64.0,0.00914,-4.695094893516078,0.008828944862890169,-4.729719766082739,0.03462487256666069
ES,2007,65,65.0,0.00947,-4.65962637178415,0.009663766078936471,-4.639371843490697,-0.020254528293452978
ES,2007,66,66.0,0.01055,-4.5516294190600615,0.01045621841015962,-4.560558414378032,0.008928995317970312
ES,2007,67,67.0,0.01189,-4.432057568279447,0.011465241869446342,-4.468435266562797,0.036377698283350135
ES,2007,68,68.0,0.01303,-4.3405008878453835,0.01249657144258036,-4.382300956890352,0.04180006904496825
ES,2007,69,69.0,0.01427,-4.249595847493392,0.013817953415367977,-4.281786560221841,0.032190712728448645
ES,2007,70,70.0,0.01557,-4.16240929313623,0.015144974496091144,-4.190086518486451,0.02767722535022088
ES,2007,71,71.0,0.01685,-4.0834046221837665,0.01672352144814582,-4.090939080573989,0.007534458390222376
ES,2007,72,72.0,0.019,-3.9633162998156966,0.018632032721855495,-3.982872990183547,0.01955669036785057
ES,2007,73,73.0,0.02098,-3.864185676013986,0.020609329691894933,-3.8820114080489914,0.01782573203500526
ES,2007,74,74.0,0.02422,-3.720576540857191,0.0232462224460566,-3.7616126355877615,0.04103609473057057
ES,2007,75,75.0,0.02675,-3.6212208056401214,0.026015033943678656,-3.649080679467373,0.027859873827251747
ES,2007,76,76.0,0.0297,-3.516608233173483,0.029062389120137318,-3.5383104108629215,0.021702177689438606
ES,2007,77,77.0,0.03313,-3.4073160626703327,0.03283140007912008,-3.4163699020447305,0.009053839374397743
ES,2007,78,78.0,0.03794,-3.2717493144752687,0.03687707020662581,-3.300165324701379,0.028416010226110178
ES,2007,79,79.0,0.04258,-3.1563706195168035,0.04181080065091817,-3.174600584050111,0.018229964533307275
ES,2007,80,80.0,0.04857,-3.0247492226244836,0.047686601746241196,-3.0431048063666886,0.018355583742204917
ES,2007,81,81.0,0.05533,-2.8944400220721187,0.05370061508882739,-2.9243308233648087,0.02989080129268995
ES,2007,82,82.0,0.0625,-2.772588722239781,0.06082976426401272,-2.7996760659814983,0.027087343741717174
ES,2007,83,83.0,0.07149,-2.6381976992033764,0.06894384987730846,-2.6744628755694198,0.03626517636604332
ES,2007,84,84.0,0.08041,-2.5206167324220794,0.07765933704012723,-2.5554234914118443,0.03480675898976493
ES,2007,85,85.0,0.09149,-2.391525602290693,0.08829258730260295,-2.427099123904032,0.03557352161333904
ES,2008,20,20.0,0.00038,-7.875339305243843,0.00035126045865411116,-7.953982562231882,0.07864325698803931
ES,2008,21,21.0,0.00034,-7.986564940354067,0.00034255253032059444,-7.979085538823645,-0.007479401530422258
ES,2008,22,22.0,0.00034,-7.986564940354067,0.0003513284206012636,-7.953789100737199,-0.032775839616868474
ES,2008,23,23.0,0.00035,-7.957577403480815,0.0003579032141152352,-7.935247959748586,-0.022329443732228782
